,decision,created_at,id,id_str,full_text,source,retweet_count,favorite_count,reply,username_length,user_location
12,enabling context,2021-01-29 14:00:17+00:00,1355153796721217536,1355153796721217536,American lobster postlarvae alter gene regulation in response to ocean warming and acidification https://t.co/VMyvBhc6eQ,WordPress.com,0,2,FALSE,13,Monaco
13,desirability,2021-01-29 13:10:10+00:00,1355141184021213192,1355141184021213192,even minecraft reefs aren’t safe from the threat of coral bleaching https://t.co/7p53Ror9Q5,Twitter for iPhone,0,4,FALSE,8,Unknown
14,buzz,2021-01-29 11:39:08+00:00,1355118276444094466,1355118276444094466,"@ecogeog @martynsteiner &amp; we owe it to our children to separate atmospheric climate change, global warming (incl. ocean warming and associated sea level rise and acidification) from litter picking and plastic pollution. So pleased that so many are doing so much - even during these awful pandemic times.",Twitter for Android,0,2,TRUE,9,United States
15,enabling context,2021-01-29 10:29:13+00:00,1355100680671928321,1355100680671928321,"#CoralReefs need clean, clear 💧 to survive.

When sediment &amp; pollutants enter the 🌊 they -
 ⬆️  Growth of damaging algae
 ⬇️  Water quality
 ❌  #Coral growth

BUT restoring nearby #mangroves can help!

Read more 👇
https://t.co/Efow2vVBS0",Hootsuite Inc.,0,2,FALSE,14,Unknown
16,invitation,2021-01-29 09:33:47+00:00,1355086730689273856,1355086730689273856,"I would encourage people to visit the following website to learn more about the #GreatBarrierReef and the challenges faced by conservationists.

https://t.co/Hage91D6wE",Twitter Web App,0,1,TRUE,13,Australia
17,enabling context,2021-01-29 09:17:37+00:00,1355082660335374342,1355082660335374342,"Shelly is 100% correct.

The ongoing problem of coral bleaching is something that is largely due, directly or indirectly, to human activity.

1/ https://t.co/I2aHeGfNnx",Twitter Web App,3,5,FALSE,13,Australia
18,enabling context,2021-01-29 08:05:43+00:00,1355064566841962497,1355064566841962497,Wonderful to see cover of current  https://t.co/BC4JCtZoyT is cross-section of a sea anemone tentacle done by @CMCA_UWA. The ‘heat map’ shows nitrogen concentrations in all the microbes inhabiting the anemone - &amp; helps us understand coral bleaching @UWAresearch https://t.co/NVlkKZosUE,Twitter Web App,2,10,FALSE,9,Unknown
19,enabling context,2021-01-29 07:19:57+00:00,1355053049312653313,1355053049312653313,"(6/8)For example, ocean warming may exacerbate their effects in species with Mg-calcite shells, as Mg content generally increases with seawater temperature and thereby accelerates skeletal solubility.Our SO maps show this general pattern of increase of Mg toward lower latitudes. https://t.co/OtSfMjFLiB",Twitter for Android,1,4,TRUE,15,Unknown
20,enabling context,2021-01-29 04:24:40+00:00,1355008939621036032,1355008939621036032,"We are UAQ-Reef!
Víctor Hugo Hernández Eliárraga
Co-founder

Víctor is a Ph.D. candidate at Autonomous University of Queretaro (UAQ, acronym in Spanish). He is interested in studying the coral bleaching phenomenon, which affects reef-forming cnidarians from the Hydrozoa class. https://t.co/HV8a8CMxTK",Twitter for iPhone,0,0,FALSE,7,Unknown
21,enabling context,2021-01-29 03:40:00+00:00,1354997696856166403,1354997696856166403,Major discovery helps explain coral bleaching -- ScienceDaily https://t.co/GJWqq0k6ii,Twitter Web App,0,0,FALSE,12,United States
22,can do,2021-01-29 02:46:38+00:00,1354984266216710146,1354984266216710146,"Get to know more about the latest Coral Restoration Foundation ad by IG_gswspeakpeople: Save Our Reefs, Save Ourselves https://t.co/2VesX13t2I",Twitter Web App,0,0,FALSE,15,Unknown
23,desirability,2021-01-29 01:09:01+00:00,1354959700865986575,1354959700865986575,Real talk. Do something! https://t.co/WSXnNtY2Mb,Twitter for iPhone,0,0,FALSE,15,Unknown
24,desirability,2021-01-29 01:00:58+00:00,1354957674589380610,1354957674589380610,"Southern Ocean waters are warming faster than thought, threatening Antarctic ice via @washingtonpost https://t.co/UAURYxo6LQ 

#marineconservation #climatechange #ocean",Hootsuite Inc.,3,5,FALSE,12,United States
25,buzz,2021-01-28 23:12:58+00:00,1354930496401244161,1354930496401244161,"@lisk_feng @FlyingEyeBooks @ProfTerryHughes Terry, you're in the book! We featured your work surveying coral bleaching across the reef.",Twitter Web App,0,4,TRUE,11,United Kingdom
26,enabling context,2021-01-28 20:19:07+00:00,1354886747902119938,1354886747902119938,"This is why ocean health is so important &gt;&gt; ""Almost all of the extra heat we gain because of greenhouse gases ultimately ends up in the oceans. In fact, the oceans absorb more than 90% of the excess heat."" https://t.co/IOuMzxdZ9E",Twitter Web App,0,0,FALSE,14,Unknown
27,desirability,2021-01-28 19:35:13+00:00,1354875698373136385,1354875698373136385,"Octopus vulgaris the not so Common Octopus in Irish waters, few records to date. They have dramatically expanded their range northwards into the North Sea. I wouldn't be surprised if we will see more around Ireland with Ocean warming @BarnacleHunt @MarineInst https://t.co/kz5yvCcY8d",Twitter for Android,4,17,FALSE,8,Ireland
28,enabling context,2021-01-28 19:18:37+00:00,1354871522704277508,1354871522704277508,"@Cirebonpower_ @Mamit_Setiawan @dewanenergi @KementerianESDM Ocean warming will continue even if the global mean surface temperature can be stabilized at or below 2°C (target of Paris Agreement) in the 21st century, due to ocean’s long-term commitment. Therefore, both mitigation and adaption are both needed!! https://t.co/YvveSkHESO",Twitter for Android,0,0,TRUE,8,Unknown
29,enabling context,2021-01-28 19:09:35+00:00,1354869245612412930,1354869245612412930,"Whether it's mass coral bleaching &amp; rapidly intensifying typhoons that wreaked havoc on my home Saipan or the wildfires that burned +1M acres here in Oregon, climate change doesn't discriminate.

No running. Just &amp; equitable action is the only solution.

https://t.co/TTMMqz8PEA",Twitter Web App,0,1,FALSE,10,United States
30,buzz,2021-01-28 17:59:36+00:00,1354851635902771201,1354851635902771201,"Took our students on a virtual field trip at Ripley's Aquarium! Had a great conversation about coral bleaching and protecting biodiversity
https://t.co/EnlGhxTWDM
@BHSS_Science @BillHogarthSS https://t.co/5lbKTCEZb5",Twitter Web App,1,3,FALSE,13,Unknown
31,enabling context,2021-01-28 17:40:40+00:00,1354846868841357312,1354846868841357312,"""Seychelles lost 90% of its coral reefs in 1998 not to overfishing but to coral bleaching, which is exacerbated by warming waters and climate change.""",Twitter Web App,0,0,TRUE,11,Unknown
32,enabling context,2021-01-28 17:15:31+00:00,1354840540836220930,1354840540836220930,"Mangroves counteract #oceanacidification in adjacent tropical waters, as well as filter pollutants, absorb excess #nutrients from runoff, and trap sediments – all of which are contributors to coral bleaching, mortality, and reef structure damage. #WetTribe #TidetotheOcean #Coral https://t.co/lNyU3IXwan",Twitter Web App,1,3,TRUE,8,Unknown
33,enabling context,2021-01-28 16:38:50+00:00,1354831310146035712,1354831310146035712,Research conducted at the DMC and @BigelowLab  by was recently published in Ecology and Evolution  https://t.co/ZergGORQD0,Twitter Web App,0,6,FALSE,9,United States
34,enabling context,2021-01-28 15:50:33+00:00,1354819157317980168,1354819157317980168,New Research: Impacts of Acclimation in Warm-Low pH Conditions on the Physiology of the Sea Urchin Heliocidaris erythrogramma and Carryover Effects for Juvenile Offspring: Ocean warming (OW) and acidification (OA) affects nearly all… https://t.co/Z6KZeDUvZr #MarineScience,dlvr.it,0,0,FALSE,14,Switzerland
35,enabling context,2021-01-28 15:43:48+00:00,1354817461397319684,1354817461397319684,Ocean temperatures rising can also impact coral reef fishes and tropical coral reefs. And is a contributing factor to coral bleaching which is caused by heatwaves.,Twitter Web App,0,0,TRUE,15,Unknown
36,desirability,2021-01-28 15:39:18+00:00,1354816329182662656,1354816329182662656,seeing a bunch of local fishermen on Facebook frothing at the mouth defending the oil companies while their own livelihoods are being destroyed by ocean warming is maddening and disheartening. The future of the fishing industry depends on environmental protection.,Twitter for Android,4,29,FALSE,6,Canada
37,desirability,2021-01-28 15:30:17+00:00,1354814057044295686,1354814057044295686,Dear Humans: It's funny how you will bail out large companies to keep them alive yet you watch the coral bleaching event happen with heavy pockets.  @AOC @elonmusk Let the young inherit the earth.,Twitter for Android,0,0,FALSE,14,Unknown
38,enabling context,2021-01-28 14:58:25+00:00,1354806038516514819,1354806038516514819,"Major discovery helps explain coral bleaching'
https://t.co/owbUuKC73Q via @ScienceDaily

'The process is triggered by warmer ocean temperatures ...'

#ClimateEmergency #NatureEmergency",Twitter Web App,1,0,FALSE,15,Unknown
39,enabling context,2021-01-28 14:33:46+00:00,1354799833958076416,1354799833958076416,Impacts of hypoxic events surpass those of future ocean warming and acidification https://t.co/727w4Q9FdG,WordPress.com,0,0,FALSE,13,Monaco
40,buzz,2021-01-28 14:32:43+00:00,1354799572590227457,1354799572590227457,"Coral restoration - NFL Green and partners  restoring a football field-sized coral reef in Florida. Force Blue special ops veterans and scientists doing the underwater planting
@VerizonGreen @Oikos @CastrolUSA @floridaaquarium @TampaBayLV @forceblueteam #nflgreen https://t.co/2zAuXa59v1",Twitter Web App,3,9,FALSE,8,Unknown
41,buzz,2021-01-28 13:18:36+00:00,1354780917756289027,1354780917756289027,"Im not sure how I have managed to top my record of worst piece of academic work ever but I have, never thought id top my 2014 coursework of fixing coral bleaching in the great barrier reef by blowing up hundreds of boats off the coast of Australia",Twitter Web App,0,3,FALSE,12,Unknown
42,desirability,2021-01-28 09:45:04+00:00,1354727182069768194,1354727182069768194,Appalling interview with Laura Tingle and Will Stefan tonight. Hysteria doom and gloom. GBR just endured 3rd “massive coral bleaching event” which is nonsense. Just wished people were more responsible with the truth,Twitter for iPhone,0,4,FALSE,10,Australia
43,enabling context,2021-01-28 08:34:53+00:00,1354709520795230208,1354709520795230208,"I am particularly looking for articles, interviews, sources and videos detailing:

• Global Warming
• Coral Bleaching
• Species Endangerment as a result of climate change
• Loss of biodiversity
• Info about greenhouse gases and their effects",Twitter Web App,1,7,TRUE,14,United Kingdom
44,enabling context,2021-01-28 02:53:37+00:00,1354623637836472320,1354623637836472320,North Brisbane’s night time temperatures continue to rise https://t.co/cIpRatKGe7,IFTTT,0,0,FALSE,15,Australia
45,desirability,2021-01-28 02:53:36+00:00,1354623631633088512,1354623631633088512,Moreton Bay experiences more warm January nights than anywhere else in Brisbane https://t.co/9xzR3dFnai,IFTTT,0,0,FALSE,15,Australia
46,desirability,2021-01-28 02:53:34+00:00,1354623626553815040,1354623626553815040,Rising temperatures could affect your household budget in the years to come https://t.co/IGDjQrc4Zp,IFTTT,0,0,FALSE,15,Australia
47,desirability,2021-01-28 02:53:34+00:00,1354623624188203011,1354623624188203011,South Brisbane’s summer climate continue to increase in temperature over time https://t.co/R9iLe3wIN4,IFTTT,0,0,FALSE,15,Australia
48,enabling context,2021-01-28 02:35:21+00:00,1354619040673763331,1354619040673763331,"@taddow77 @atrupar Hurricanes grow in strength by absorbing heat from the ocean. By reducing our greenhouse gas emissions and slowing or maybe reversing ocean warming, yes, we will be paying for future hurricanes to stay out at sea.",Twitter Web App,0,3,TRUE,5,United States
49,desirability,2021-01-28 01:07:02+00:00,1354596816256462848,1354596816256462848,Sea otters are beginning to die in large numbers off the West Coast of the United States. The cause is an unusual form of poisoning connected with global heating of the oceans. https://t.co/5FLVMmdYKl https://t.co/7adSRwCFer,Buffer,0,0,FALSE,7,United States
50,enabling context,2021-01-28 00:37:00+00:00,1354589257021710339,1354589257021710339,"The greatest quantities of ice lost were from floating sea ice, which is creating a positive feedback loop of increased ocean warming and further ice loss.
https://t.co/7yTMdhzhkF",MeetEdgar,29,70,FALSE,14,United States
51,desirability,2021-01-27 22:26:25+00:00,1354556395878670339,1354556395878670339,"@KHayhoe @AndrewDessler Moreover, if the early Holocene warming was initially a seasonal, not global, phenomenon, doesn't that further complicate Ruddiman's necessary argument that ocean warming feedbacks must have contributed a large part of the additional GHG needed?",Twitter Web App,1,2,TRUE,11,United States
52,buzz,2021-01-27 22:04:30+00:00,1354550877919473664,1354550877919473664,"Major discovery reshapes our understanding of coral bleaching in @PNASNews https://t.co/Ux1amCqYnc 
Great work from Nils Rädecker @reefgenomics @CloudyPogoreutz @hi_hagen @ajcardenasb @uts_c3 and others",Twitter Web App,4,13,FALSE,6,Australia
53,enabling context,2021-01-27 20:59:44+00:00,1354534578849898508,1354534578849898508,Major discovery helps explain how warming water leads to coral bleaching https://t.co/ltnBpwVQFr,Twitter Web App,0,0,FALSE,11,Unknown
54,desirability,2021-01-27 20:13:11+00:00,1354522866243543041,1354522866243543041,"@hausfath @Oliver_Geden @ClimateEnvoy Given the summit topic, might it be ocean warming only?",Twitter for Android,0,0,TRUE,8,United States
55,enabling context,2021-01-27 20:11:52+00:00,1354522535677878272,1354522535677878272,Neoteric marine biology research reveals further insights into why coral bleaching occurs: chemical disturbance derives from the metabolic equilibrium between corals &amp; their symbiotic algae (absorb CO2  from corals &amp; provide nutrients for photosynthesis) which induce colouring https://t.co/4DM21b91DV,Twitter Web App,1,6,FALSE,15,Unknown
56,buzz,2021-01-27 20:06:28+00:00,1354521173313216512,1354521173313216512,"Tomorrow, our @rescueareef team is going to lead a coral restoration expedition to transplant 55 elkhorn corals, a threatened species, onto a local reef as part of our ""100 Yards of Hope"" @NFLGreen project and in recognition of Super Bowl 55 in @TampaBayLV 🏈

Life is wild 🤯",Twitter for iPhone,0,8,FALSE,12,United States
57,buzz,2021-01-27 19:20:23+00:00,1354509576259969027,1354509576259969027,Jenna presents on coral bleaching at the SNHS meeting today. https://t.co/oColaUdQ8z,Twitter for iPhone,0,3,FALSE,15,Unknown
58,desirability,2021-01-27 19:02:21+00:00,1354505037184176131,1354505037184176131,"Did you know? These emissions cause ocean warming, acidification and oxygen loss. Ocean heat is higher than ever, with 90% of excess heat from the climate absorbed into the water. Source: https://t.co/3nahkH6BxH
.
#GoGreen #GoSolar #SaveThePlanet #CleanWater #SaveTheOceans https://t.co/eoIs8eVFBy",HubSpot,0,0,FALSE,13,Unknown
59,desirability,2021-01-27 19:00:44+00:00,1354504632425472014,1354504632425472014,"@SharkGuardian1 @SharkprojectD @isabeljarrett 
Too sad.
With ocean warming some sharks mature/incubate slower 
Sharks survived 400m years and in a nanosecond of world clock) we wipe them out. Even knowing this finning, shark fishing still permitted. We have to stop this NOW! 🦈 https://t.co/hiqwKXoTGu",Twitter Web App,0,1,FALSE,12,Switzerland
60,buzz,2021-01-27 16:16:47+00:00,1354463372197187587,1354463372197187587,"An @EPFL_en scientist has made a major breakthrough in the understanding of #coral #bleaching. “We showed for the first time that the coral starts to suffer from hunger long before the algae are expelled."" An article published in @PNASNews.
https://t.co/a8t7YTbBlc",Twitter Web App,0,4,FALSE,8,Switzerland
61,can do,2021-01-27 16:15:05+00:00,1354462943786754057,1354462943786754057,"Ocean warming affects marine species, ecosystems and the benefits humans derive from it. 

Our Issues Brief explains what we can do to protect our #ocean https://t.co/lrjHjQoIPd @IucnOcean https://t.co/PlePRizjsa",Hootsuite Inc.,16,27,FALSE,4,Switzerland
62,enabling context,2021-01-27 15:50:38+00:00,1354456792382771205,1354456792382771205,"Ocean Warming and the Reefs of Palau on JSTOR
https://t.co/vGjW3m8afk",Twitter Web App,0,0,FALSE,15,Netherlands
63,desirability,2021-01-27 15:20:00+00:00,1354449082228604932,1354449082228604932,"""The latest research showed that oceans hit their highest recorded temperatures, a record that keeps getting broken year after year."" 💔💔

But...why are the oceans so important?  
https://t.co/5pbFyIulqI

#ocean #globalwarming #risingtemperatures",Twitter Web App,4,6,FALSE,10,United Kingdom
64,invitation,2021-01-27 15:09:00+00:00,1354446313832599556,1354446313832599556,Learn more about the @UNEP and ICRI report: Coral Reef Restoration as a Strategy to Improve Ecosystem Services: A Guide to Coral Restoration Methods. ▶️Recording here: https://t.co/mHiem72xQE #reefresilience #generationrestoration #restoration #coral https://t.co/PQtGWmC9P5,Twitter Web App,2,6,FALSE,10,United States
65,desirability,2021-01-27 14:30:29+00:00,1354436620586541056,1354436620586541056,"A reminder that climate change is not happening in some far-off land or distant future: it's happening close to home, and now. 

The implications of ocean warming on marine ecosystems, and by extension the fisheries that depend on them, are significant.
https://t.co/ENrpplrm4l",Twitter Web App,0,2,FALSE,15,Unknown
66,desirability,2021-01-27 14:24:48+00:00,1354435191801081860,1354435191801081860,"The rise in sea surface temperatures is causing more severe hurricanes &amp; the intensification of El Niño events bringing droughts and floods.
https://t.co/8TxFhVAMav

This already is having significant socio-economic &amp; health effects in some regions of the world. 
#OceanWarmingNow",Twitter for Android,1,1,FALSE,15,Nigeria
67,desirability,2021-01-27 14:03:15+00:00,1354429768133992450,1354429768133992450,"@TravisIanPater2 @gmbutts Except that the predictions ARE happening. Ice melt is worse than projections. Ocean warming is right on track. Yes, science has no narrative, but your beliefs and your dismissal of science sure does. Open your mind. Look at the actual evidence.",Twitter for iPhone,0,0,TRUE,9,Canada
68,buzz,2021-01-27 11:00:00+00:00,1354383651404824579,1354383651404824579,The #coral nurseries in #Bonaire as part of a coral restoration programme. This is 6 months of progress! We can't wait to see how much they've grown since 😊💙 https://t.co/qU9v3xPwlt,Twitter Web App,1,3,FALSE,12,Unknown
69,desirability,2021-01-27 10:10:52+00:00,1354371285418209281,1354371285418209281,"A major breakthrough in the understanding of #CoralBleaching shows that it begins much earlier than previously thought, apparently resulting from a disturbance in the metabolic equilibrium between corals and their symbiotic algae. #GlobalWarming #Corals https://t.co/G605ZHMazN",Twitter Web App,6,19,FALSE,7,Switzerland
70,invitation,2021-01-27 09:30:56+00:00,1354361237140869120,1354361237140869120,"🚨New #OpenAccess paper in @PNASNews on how 

“Heat stress destabilizes symbiotic nutrient cycling in corals”

by amazing Nils Rädecker! 

Follow the thread by our co-author @hi_hagen for an excellent summary. Full paper: https://t.co/JhrSpDNAuA

#coral #bleaching #climatechange https://t.co/i9tzjNfKec",Twitter Web App,0,5,FALSE,13,Unknown
71,desirability,2021-01-27 09:20:46+00:00,1354358678095331329,1354358678095331329,"@hausfath This is over three times the average ocean warming since the 1960's (1.24 vs 0.38 W/m²). 

Do you think the 77% reduction in SOx emissions from shipping from 2020 could be causing further warming? Could available data be used for assessment? https://t.co/dIWA3u25cx",Twitter Web App,3,4,TRUE,11,Netherlands
72,invitation,2021-01-27 05:30:27+00:00,1354300719948419076,1354300719948419076,"Read about the devastating impacts of warming oceans on diatoms here. 

https://t.co/sbHaxwGzWI

Stay tuned to see how to reduce ocean warming and acidification to help protect diatoms and the fragile ocean food chain. Stay Positive!",Twitter Web App,0,2,TRUE,13,Unknown
73,buzz,2021-01-27 03:56:16+00:00,1354277016363786246,1354277016363786246,"@larry79115 @Juzwik @Liberat67627787 @snaglet @KrVaSt @ClimVari @Tav_assoli @ClimateBen @MichaelBringsli @RealGeoEngWatch @iconickevin @GeraldKutney @JunagarhMedia @jim27182 @PaulEDawson @chrislibertynow @chriscartw83 @NumberLens

Great thread: study conducted of ocean warming. https://t.co/F46qfalZRm",Twitter for Android,1,8,FALSE,13,Armenia
74,enabling context,2021-01-27 02:48:05+00:00,1354259856782356481,1354259856782356481,"Coral bleaching - ""The roots of the problem are much deeper than we thought, and they involve an early breakdown of the metabolic exchanges in these fascinating organisms""

https://t.co/elw36Dd2Gt via @physorg_com",Twitter Web App,1,5,FALSE,8,Canada
75,can do,2021-01-27 00:24:00+00:00,1354223596080492547,1354223596080492547,"🥵 Almost all of the extra heat we gain because of greenhouse gases ultimately ends up in the #oceans. In fact, the oceans absorb more than 90% of the excess heat. 

If you want to understand #GlobalWarming, you have to measure ocean warming.

https://t.co/WhiyyOzI0p",Twitter Web App,1,1,FALSE,13,Unknown
76,buzz,2021-01-26 23:15:26+00:00,1354206343171874818,1354206343171874818,"Grade 2 unpacked our new unit on oceans by making their thinking visible.  They responded to some thought-provoking images about shark finning, bycatch &amp; coral bleaching.  #cisinspires #visiblethinkingroutines #jigsawing https://t.co/wtri1DLpto",Twitter for iPhone,1,3,FALSE,11,Cayman Islands
77,buzz,2021-01-26 22:40:57+00:00,1354197662980055040,1354197662980055040,Update and imagines from our coral restoration expedition last week as part of our @RestorationHub project 👇 https://t.co/Xg4WtFLHJ9,Twitter for iPhone,1,8,FALSE,11,United States
78,buzz,2021-01-26 22:06:43+00:00,1354189048655572993,1354189048655572993,"A new study on #coral #bleaching: ""Heat stress destabilizes symbiotic nutrient cycling in corals"" - Nils Rädecker et al. 2021

&gt;The breakdown of a metabolic exchange&lt;
#CoralReef #bleaching #nutrients #Balance #HeatWaves #ClimateCrisis #climatechange 

---&gt; https://t.co/xH0WYnLeWD https://t.co/HYrua1Ik72",Twitter Web App,18,46,FALSE,8,Unknown
79,desirability,2021-01-26 21:53:01+00:00,1354185600551641089,1354185600551641089,"The #SouthernOcean is warming faster than thought!

https://t.co/4vycBlNP2Q",Twitter Web App,5,4,FALSE,9,Unknown
80,desirability,2021-01-26 19:34:39+00:00,1354150781679616000,1354150781679616000,Ocean acidification can lead to coral bleaching witch also causes lots of our sea life who lives in coral to slowly die off https://t.co/HrNOpKmIpJ,Twitter for Android,0,0,FALSE,15,United States
81,enabling context,2021-01-26 19:03:25+00:00,1354142919058317313,1354142919058317313,"@SimonMaxfield8 @Climatehope2 @jwickers @Robert76907841 @quieroserabuela @Veritatis2021 @ejwwest @timoteo0167 @EcoSenseNow @OLDDYNAMITE @FChecker76 @jbonbon91 @DanCady @BointonGiles @EdBohman @KeillerDon @bobathon @MorseBart @Durant1899 @moonrakin @EDavidAn @TaroIstok @cosaingalway @wilburcobb8 @stockypig @canncr @WeiZhangAtmos @maxo531 @PygmalionXXVIII @PaulReadGB @RealLimerickMan that the loss of ice over years is another part of this.  As the area of arctic ice cover (summer and winter but mostly summer) diminishes the surface of the ocean that is absorbing energy increases, and I think this is also a significant part of ocean warming.",Twitter Web App,0,5,TRUE,13,New Zealand
82,enabling context,2021-01-26 18:31:34+00:00,1354134902493605889,1354134902493605889,"Today’s ocean is 30 percent more acidic than it was before the industrial revolution. If we stop carbon emissions today, it will take over 10,000 years for it to be healthy again. https://t.co/Tu1AgFkfuO",Twitter Web App,0,1,FALSE,11,Unknown
83,desirability,2021-01-26 17:45:10+00:00,1354123227979800577,1354123227979800577,"""We expect to see heat records continue to be broken and weather to become more and more strange. And of course, there will be costs – in human lives and infrastructure.""

https://t.co/K8nolMgg95

#globalwarming #climatechange #environment #savetheplanet #nature #climate #Oceans",Twitter Web App,6,10,FALSE,9,Unknown
84,buzz,2021-01-26 17:44:36+00:00,1354123084119171072,1354123084119171072,"Today I learned the basics of radiation, &amp; that apparently temperature is the only thing that matters in coral bleaching. Because ""his feeling"" is that it is so. Nevermind the decades of data about photoinhibition of the coral symbiosis 🙄",Twitter for Android,0,2,TRUE,12,United States
85,desirability,2021-01-26 17:37:46+00:00,1354121367000641537,1354121367000641537,"Sad effect of ocean warming.

CBS News: Gray whales are starving and dying off at an alarming rate along the Pacific Coast.
https://t.co/jHIHzTx91i

via @GoogleNews",Twitter for Android,0,1,FALSE,10,Unknown
86,enabling context,2021-01-26 16:34:26+00:00,1354105425080283136,1354105425080283136,"‘The study also lends insight into why many of Greenland's glaciers never recovered after an abrupt ocean warming between 1998 and 2007, which caused an increase in ocean temperature by nearly 2 degrees Celsius.’ https://t.co/AE0cld8lYA",Twitter for iPhone,19,24,FALSE,10,Ireland
87,desirability,2021-01-26 16:26:04+00:00,1354103320315617283,1354103320315617283,"Over the last decade we have seen a dramatic increase in the rate that #corals are dying. The worst #coralbleaching to date took place in 2016 at the #GreatBarrierReef in Australia. In just 2 years almost 67% of corals were killed! 💔
Read more here: https://t.co/aKhHFgAfhu https://t.co/s7jjEd7eBQ",Buffer,0,0,FALSE,7,United Kingdom
88,buzz,2021-01-26 14:36:19+00:00,1354075700140134401,1354075700140134401,Coral reefs form a natural barrier against flooding. With 3D printed replicas of corals Marion Tissier researches how reefs exactly protect vulnerable coasts to ultimately design coral restoration programmes: https://t.co/fWwtz1CBpa #AdaptationSummit #ClimateAction @CASsummit2021 https://t.co/VnXMsUqqxl,Twitter Web App,2,9,FALSE,7,Netherlands
89,desirability,2021-01-26 13:13:50+00:00,1354054944899395585,1354054944899395585,"IT’S BAD
Extreme Heat - Ocean Warming and Acidification - Extreme Storms and Floodings - Melting Ice - Shifting Climate 
#climatecrisis #climatechange #WeAreOne 
https://t.co/hoAvd8iGfV https://t.co/rHcAVmEXDu",Twitter for iPhone,1,0,FALSE,15,Unknown
90,enabling context,2021-01-26 10:43:25+00:00,1354017092471668736,1354017092471668736,Why are ocean warming records so important? https://t.co/BkRAYXBnPn,Twitter for Android,0,0,FALSE,7,Maldives
